Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
Cr-Cu-Fe-Mn-Ni-Sn-,0.27-0.06-0.16-0.23-0.24-0.04-,-1.6270869,3.7008688,1.3867779,1.878648,14.457655,13.442612,1749.9462,20.647827,1.7482886,8.398349,8.113052,2.0394967,0.0049496708,7.837104,7.1327953
Al-Co-Cr-Fe-Mo-Ni-,0.24-0.02-0.20-0.32-0.04-0.19-,-11.77115,4.8224096,1.3563441,4.688044,1.8550577,12.813427,1704.1624,29.198635,1.773323,7.9105163,6.724269,2.4527943,0.04978279,6.46778,7.0498047
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.12-0.11-0.16-0.18-0.17-0.15-0.12-,-9.882688,8.596542,1.3610005,3.4335773,2.7762122,16.315018,1681.6675,21.811413,1.7709385,7.840832,7.5592327,2.741798,0.048126925,6.83977,12.196174
Hf-Nb-Si-Ti-Zr-,0.15-0.20-0.06-0.32-0.26-,-14.658057,16.572254,1.4542316,7.7168226,1.8943585,12.47832,2225.2686,15.173869,1.4820247,10.877988,4.2023697,0.40350947,0.878421,7.221892,461.38647
Mo-Nb-Ta-Ti-W-Zr-,0.37-0.34-0.11-0.02-0.11-0.05-,-5.778249,2.3366582,1.4431069,2.7074916,6.051707,11.967388,2921.9626,12.656445,1.8625007,18.038342,5.4106975,0.6116265,0.9999547,10.959843,66.458015
Al-Co-Cr-Cu-Fe-Ni-Ti-V-,0.12-0.20-0.06-0.10-0.14-0.15-0.07-0.16-,-13.620274,8.132168,1.3513069,3.2218819,2.1228085,16.740227,1727.1707,21.640278,1.7716653,7.574927,7.340418,2.6486197,0.11609608,6.8170066,20.59577
Al-Co-Cr-Cu-Fe-Ni-,0.23-0.20-0.20-0.11-0.24-0.02-,-6.4402375,5.9436026,1.3489395,4.329436,3.4395955,13.658418,1621.8428,27.025599,1.7646618,6.6613226,7.0173793,2.6202376,0.07040656,6.488145,17.783054
Al-Co-Cr-Fe-Mn-Ni-V-,0.10-0.19-0.14-0.14-0.14-0.18-0.11-,-11.599844,5.6895475,1.3606755,3.248084,2.4414182,16.238758,1743.9797,20.074007,1.7472639,7.9115686,7.31792,2.1668065,0.0036904668,7.137669,18.931944
Al-Nb-Ta-Ti-V-Zr-,0.14-0.27-0.22-0.25-0.08-0.04-,-10.004898,7.470603,1.4055899,5.176574,3.1949487,13.572577,2355.126,31.82694,1.5571294,4.0412297,4.4456615,0.722449,0.9999958,8.419312,123.608604
Al-Co-Cr-Cu-Fe-Ni-Sn-,0.38-0.18-0.09-0.19-0.10-0.02-0.04-,-6.1648383,6.3955493,1.3252158,4.78826,3.0244155,13.666065,1364.3303,33.46849,1.760747,7.67871,6.9568753,3.4788094,0.8068231,5.7893987,18.323072
Al-Cr-Fe-Ni-Ti-,0.30-0.25-0.23-0.11-0.11-,-18.14622,6.8833103,1.3492382,4.9671845,1.1505991,12.713137,1642.3186,29.843988,1.6994557,7.0571513,5.790508,2.4075856,0.094225526,5.4830565,4.9929833
Co-Cr-Fe-Mo-Ni-,0.20-0.16-0.22-0.16-0.27-,-4.562629,1.9390202,1.3845032,2.636869,5.8176265,13.206612,2009.8772,20.564453,1.8873565,7.6325884,8.109556,1.5909312,0.38187188,8.680043,18.79552
Hf-Nb-Si-Ta-Ti-Zr-,0.30-0.15-0.10-0.15-0.14-0.16-,-22.817291,19.936872,1.4536908,9.011526,1.5388433,14.391795,2439.7393,19.748802,1.4740835,12.433964,4.3022537,0.46061587,0.005414113,9.712043,697.4272
Al-Cr-Cu-Fe-Ni-Ti-,0.20-0.16-0.17-0.21-0.20-0.06-,-8.857592,7.8791013,1.3506503,4.126285,2.602446,14.390224,1601.8793,25.987541,1.76998,7.5225563,7.356414,2.931232,0.096948974,6.502831,5.8606224
Hf-Nb-Ti-V-Zr-,0.17-0.26-0.05-0.37-0.16-,-0.49357176,1.670999,1.4431704,5.7950215,57.939404,12.097015,2363.9875,11.321815,1.5157301,9.299807,4.6280003,0.48547357,0.999946,8.244408,492.19586
Al-Cr-Fe-Mn-Ni-Sn-,0.18-0.09-0.08-0.50-0.10-0.05-,-11.631933,5.507062,1.3705494,4.3573265,1.5308719,12.176715,1462.3811,27.573702,1.6525049,8.577884,6.96618,2.5695941,0.4237468,6.53676,5.9985623
Co-Cr-Fe-Mn-Ni-Sn-V-,0.14-0.17-0.17-0.22-0.21-0.02-0.06-,-5.5387425,3.3929262,1.3802592,1.9404699,4.815254,15.000049,1778.024,16.987251,1.7528164,8.294262,7.9493256,1.8147002,0.0980919,7.834958,15.300803
Al-Co-Cr-Fe-Ni-Ti-Zr-,0.25-0.07-0.09-0.13-0.21-0.19-0.06-,-30.664555,11.555831,1.3565468,5.5777535,0.8134708,15.147493,1646.7885,26.445723,1.6968558,9.941072,6.0771065,2.7908995,0.14369532,5.6582103,12.101767
Al-Nb-Ta-Ti-V-Zr-,0.21-0.22-0.14-0.32-0.05-0.06-,-15.790509,9.311246,1.3925421,6.0315924,1.8098226,13.477968,2120.3506,36.279095,1.554221,4.479027,4.199163,0.76426435,0.8623934,7.0455947,97.81904
Al-Co-Cu-Fe-Mg-Zn-,0.56-0.21-0.16-0.02-0.03-0.02-,-9.024965,5.551252,1.299838,4.796216,1.3130617,9.956268,1190.2385,29.774681,1.7083688,8.912556,5.7542562,3.4748375,0.9026252,4.569927,21.672792
Co-Cr-Fe-Mo-Ni-Ti-,0.23-0.15-0.20-0.13-0.24-0.05-,-7.666292,4.961035,1.3828537,2.523759,3.654085,14.11538,1984.5924,19.301687,1.8643695,8.212747,7.964137,1.753795,0.36101258,8.361423,20.234417
Al-Cr-Cu-Fe-Ni-Ti-,0.14-0.13-0.04-0.23-0.39-0.08-,-15.155939,7.8079095,1.357844,3.5990489,1.4560217,13.00778,1696.4751,20.560482,1.7903014,7.4748607,7.6603045,2.6419919,0.27323398,6.8845057,6.4359016
Al-Co-Cr-Cu-Fe-Mo-Ni-,0.15-0.20-0.16-0.09-0.16-0.07-0.17-,-6.74978,5.999885,1.3580536,4.012819,4.0992756,15.783099,1753.0908,27.905258,1.8231704,8.093454,7.58473,2.4910932,0.00066147273,7.35661,18.907625
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.29-0.13-0.07-0.21-0.06-0.05-0.18-,-8.719719,7.035371,1.3302295,4.1552286,2.4719923,14.930726,1443.6722,27.466074,1.7744509,7.9434648,7.4731283,3.2071886,0.81405324,6.332579,14.805518
Co-Cr-Cu-Fe-Ni-,0.04-0.19-0.35-0.13-0.29-,5.4551086,4.2805047,1.3656307,1.7051805,3.7027607,11.931905,1692.8533,17.350794,1.8486245,5.0561714,9.316187,1.8462789,0.98767555,8.451049,9.390384
Nb-Ta-Ti-V-W-,0.21-0.22-0.09-0.36-0.11-,-2.5508955,1.6884837,1.3979712,3.410505,13.16898,12.44855,2698.5212,21.576067,1.6700103,15.128012,5.023241,0.45382962,0.9999988,10.601451,109.51541
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.11-0.14-0.09-0.12-0.10-0.24-0.20-,-18.603071,10.362842,1.3583989,3.3087838,1.4236189,15.673677,1689.6914,19.906612,1.7677807,8.621592,7.461026,2.8672564,0.10586498,6.6317196,14.540423
Al-Cr-Cu-Fe-Ni-,0.10-0.18-0.11-0.20-0.41-,-5.3074484,5.658657,1.3588314,3.2066052,3.9415133,12.28833,1702.3772,20.111782,1.8175056,6.293211,8.281241,2.411389,0.43182862,7.519482,6.841571
Hf-Nb-Ti-V-Zr-,0.12-0.19-0.30-0.12-0.27-,0.6742707,1.4840857,1.4623891,5.155741,42.746544,12.829554,2246.5928,13.316424,1.4766302,8.711312,4.313336,0.46545625,0.99998474,7.267119,385.01517
Al-Cu-Mg-Zn-,0.54-0.03-0.38-0.05-,-2.0424569,0.60751265,1.3535926,8.7339325,3.6215177,7.9466076,930.811,9.864498,1.5061059,10.769,3.302012,2.491278,7.2821154e-09,2.5399163,3.005099
Al-Cr-Cu-Fe-Ni-,0.24-0.28-0.08-0.17-0.23-,-9.464216,6.1249,1.3485283,4.3933945,2.2356684,12.843055,1647.4933,28.079832,1.7542014,7.159791,6.9578977,2.7702785,0.14138456,6.3777957,6.430609
Al-Co-Cr-Fe-Ni-,0.19-0.16-0.11-0.27-0.27-,-11.703376,5.5652585,1.3502632,3.9459276,1.8581386,13.123518,1657.0626,22.526522,1.7991023,6.4726696,7.54056,2.4915168,0.45771635,6.879575,15.688742
Al-Cr-Cu-Fe-Ni-Ti-,0.12-0.19-0.19-0.09-0.30-0.11-,-11.573163,8.919669,1.3571738,3.424439,2.058702,14.203333,1677.4718,22.731909,1.7750705,8.115643,7.715939,2.9069145,0.040617354,6.8515615,7.061567
Al-Co-Cr-Cu-Fe-Ni-,0.17-0.29-0.19-0.06-0.23-0.06-,-7.487484,5.5655665,1.3540802,3.860242,3.0911748,13.729731,1685.7664,23.313736,1.7842069,6.3790283,7.371148,2.3839798,0.05160496,6.941035,23.1327
Al-Co-Cr-Cu-Fe-Ti-,0.22-0.29-0.09-0.09-0.24-0.08-,-12.742606,7.6214643,1.3486521,4.1722016,1.7366867,13.7346,1611.2527,24.611477,1.7669849,7.25654,7.004389,2.6494443,0.36439386,6.383599,22.973324
Co-Cr-Fe-Ni-Ti-,0.22-0.17-0.18-0.27-0.15-,-14.805515,8.166717,1.3755511,1.8249326,1.6625946,13.213444,1862.9185,8.626725,1.78885,7.595408,7.803793,2.0991983,0.0017814382,7.45776,18.92251
Al-Cr-Mo-Nb-Ta-Ti-V-,0.17-0.12-0.10-0.35-0.04-0.20-0.02-,-13.093948,6.6026387,1.3972063,5.1259813,2.3771548,13.986902,2225.392,31.324997,1.6495256,10.57526,4.6710157,1.0034693,0.008036179,6.9934998,46.086346
Hf-Mo-Nb-Ti-V-Zr-,0.04-0.12-0.20-0.21-0.16-0.27-,-1.5930375,2.0788434,1.454889,4.96387,20.47295,14.010842,2327.7798,14.929381,1.5719378,15.649504,4.591938,0.6913279,0.9999025,7.1812024,160.98232
Al-Co-Cr-Fe-Mn-Ni-,0.07-0.32-0.21-0.14-0.13-0.13-,-7.4423456,4.063423,1.3677653,2.8909829,3.3191104,13.966921,1768.6046,17.045055,1.7678189,7.512669,7.68426,1.833891,0.2993856,7.604172,24.533749
Al-Co-Cu-Mg-Ni-Sn-Zn-,0.48-0.13-0.20-0.12-0.02-0.02-0.04-,-5.8137283,4.9954057,1.3221194,6.27769,2.3947332,12.348685,1127.4338,29.502028,1.6788392,11.286069,5.8853,3.8708382,0.95036525,4.3856807,15.509981
Al-Co-Cr-Cu-Fe-Mo-Ni-Ti-,0.19-0.06-0.31-0.09-0.19-0.02-0.13-0.01-,-7.3081765,6.0224557,1.359237,4.234053,3.5099075,14.772638,1736.3871,27.500702,1.7591789,7.6307425,6.9199095,2.5306919,0.08269659,6.6738186,10.369307
Al-Co-Cr-Fe-Mn-Ni-,0.13-0.38-0.23-0.08-0.04-0.14-,-10.442661,4.860572,1.3545353,3.4563978,2.1912029,13.136692,1741.8378,20.97707,1.7802542,6.998642,7.4855666,2.219505,0.08461669,7.222996,29.337261
Co-Cu-Fe-Mn-Ni-Sn-,0.28-0.19-0.09-0.14-0.25-0.06-,1.1851877,3.2850602,1.3670776,2.1306026,18.501766,13.878693,1579.9818,19.462368,1.8451352,6.6087627,9.532536,1.661449,0.075678565,8.407737,22.243902
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.12-0.11-0.10-0.11-0.14-0.27-0.15-,-16.31165,9.690476,1.3582369,3.368895,1.6276166,15.697271,1691.3198,20.120071,1.77803,8.143736,7.5805464,2.768476,0.20234562,6.7796483,13.338673
Al-Co-Cr-Fe-Ni-Si-,0.10-0.16-0.12-0.13-0.42-0.06-,-16.923704,8.694225,1.3369006,5.4708266,1.3379595,13.199134,1715.5087,17.61502,1.8326203,5.960007,7.996727,2.430523,0.7365582,7.04374,16.934042
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-V-,0.04-0.14-0.10-0.11-0.05-0.13-0.03-0.12-0.28-,-9.324289,6.7056346,1.3655562,2.5393944,3.2853878,16.731384,1830.9246,19.01802,1.6934404,8.116412,6.662508,2.3409374,0.0031327105,6.6702337,18.452919
Al-Co-Cr-Cu-Fe-Ni-,0.16-0.13-0.20-0.07-0.13-0.30-,-9.96591,6.3313107,1.3503702,3.6914196,2.4163942,14.318777,1681.8171,23.272654,1.7930309,6.9653473,7.68449,2.6194289,0.17170255,7.0206265,14.919587
Co-Cu-Fe-Ni-,0.33-0.20-0.24-0.22-,4.092674,3.07594,1.3620938,1.5788939,4.68574,11.366521,1687.1661,9.930149,1.8786073,1.5927039,9.382401,1.0594958,0.9998863,8.631768,23.76593
Al-Co-Cr-Cu-Mn-Ni-Sn-Ti-,0.40-0.10-0.03-0.09-0.09-0.10-0.03-0.15-,-22.02543,9.167375,1.3263146,5.059908,0.9100783,14.72735,1361.0637,33.024406,1.691952,8.908228,6.0215483,3.3668642,0.9242413,5.1159945,13.541816
Al-Co-Cr-Fe-Mn-Ni-V-,0.09-0.21-0.18-0.08-0.12-0.22-0.10-,-11.878846,5.511238,1.3602703,3.0723112,2.333532,15.607548,1776.0424,19.38605,1.7526625,7.8950195,7.402812,2.1744905,0.011190588,7.2527323,20.447073
Mo-Nb-Ti-Zr-,0.32-0.19-0.34-0.15-,-3.4412866,2.183843,1.4469754,3.3574216,7.9968343,11.320841,2430.8608,17.635431,1.7227501,18.228146,4.843425,0.8849232,0.9999908,7.280709,20.889599
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.10-0.16-0.13-0.03-0.07-0.21-0.20-0.10-,-15.309222,8.030112,1.3648849,3.3346984,1.793909,16.30805,1684.0361,19.53741,1.7249506,8.989958,7.276471,2.364316,0.017556628,6.8960166,15.842345
Al-Co-Cr-Fe-Mn-Ni-,0.09-0.13-0.13-0.12-0.37-0.16-,-9.372621,4.8514214,1.3716933,3.2838688,2.4425998,13.863808,1651.3181,18.989555,1.7020923,8.784039,7.335567,1.891248,0.013390915,7.2315288,12.633202
Co-Cr-Cu-Fe-Mn-Ni-,0.05-0.34-0.02-0.17-0.14-0.28-,-3.7784317,2.8832924,1.3824556,1.7334895,6.298495,12.794698,1860.0223,13.490955,1.758788,7.6000996,7.850136,1.6889142,0.9545844,7.915489,9.559973
Al-Co-Cr-Fe-Ni-,0.24-0.21-0.19-0.19-0.17-,-13.450881,5.7005377,1.3444507,4.3167105,1.625955,13.314572,1642.6006,26.345137,1.7680432,6.9346294,6.9430194,2.5745654,0.6803931,6.422949,19.424053
Al-Cu-Mg-Ni-Sn-Zn-,0.32-0.23-0.18-0.08-0.09-0.10-,-3.2915173,3.987257,1.3539246,6.6387506,4.314583,13.811699,1028.2239,31.450132,1.6836257,13.077438,7.1549983,4.5790224,0.00010296702,4.853156,8.641829
Al-Co-Cr-Fe-Mn-Ni-V-,0.12-0.21-0.18-0.12-0.12-0.21-0.03-,-11.469511,5.4957557,1.3587275,3.4788954,2.2916656,15.307124,1717.1272,20.855875,1.75915,7.816899,7.4391103,2.230524,0.0755312,7.148208,19.290482
Mo-Nb-Ti-V-Zr-,0.35-0.15-0.27-0.20-0.03-,-3.274878,1.7176926,1.4189851,3.128371,8.836544,11.807129,2450.9424,16.905918,1.7808436,16.019873,5.053892,0.8079873,0.9998605,7.4367933,20.260544
Al-Co-Cr-Cu-Fe-Ni-,0.24-0.26-0.21-0.03-0.11-0.16-,-12.70329,6.045027,1.3418198,4.1871047,1.7709638,13.721787,1639.514,26.737299,1.7685552,7.0880814,7.021693,2.653032,0.81418574,6.481161,22.771124
Al-Co-Cr-Fe-Mo-Ni-Ti-,0.22-0.13-0.29-0.17-0.06-0.12-0.01-,-12.272888,5.2945337,1.3573428,4.61629,2.0731652,14.343086,1773.9362,29.730055,1.7626854,8.600451,6.505789,2.3423672,0.0011148115,6.543763,15.104203
Hf-Mo-Nb-Ti-V-Zr-,0.11-0.02-0.29-0.22-0.11-0.26-,0.87213695,1.7575319,1.4638739,4.8851247,35.61912,13.34638,2327.5815,14.005865,1.5014218,10.722035,4.4427876,0.53914845,0.99998856,7.520595,326.84308
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.19-0.11-0.20-0.06-0.19-0.13-0.13-,-16.411009,8.620707,1.35798,4.134764,1.6475959,15.869584,1703.8069,24.910522,1.7375963,8.025798,6.6546926,2.631052,0.41784447,6.217411,12.48572
Al-Co-Cr-Fe-Mn-Ni-V-,0.07-0.15-0.13-0.11-0.16-0.18-0.20-,-12.226351,5.621222,1.3626188,2.9225423,2.3281643,15.83894,1797.15,19.041458,1.7282215,8.032173,7.126713,2.1009982,0.0010451046,7.116989,17.868385
Al-Co-Cr-Cu-Fe-Ti-,0.18-0.30-0.14-0.10-0.25-0.03-,-7.723836,6.5438495,1.3525904,3.9420414,2.8822777,13.512652,1647.5105,23.827398,1.7807466,6.634139,7.317413,2.5084746,0.045329962,6.7805886,23.351774
Al-Cr-Fe-Mo-Ni-,0.20-0.26-0.25-0.09-0.20-,-10.93022,4.663555,1.3648987,4.6183476,2.1642072,13.006729,1818.6938,30.13618,1.7889946,9.186615,6.6987286,2.3436291,0.028364813,6.836748,7.6169214
Hf-Mo-Nb-Ta-Ti-Zr-,0.17-0.03-0.26-0.17-0.16-0.21-,2.2211192,1.6666785,1.4799628,3.8636446,16.020134,13.945575,2551.5361,17.737669,1.482831,11.332234,4.4967594,0.55773264,1.0,9.724818,447.23245
Al-Cr-Cu-Fe-Mn-Ni-Ti-,0.18-0.10-0.17-0.15-0.21-0.16-0.03-,-7.926449,7.193044,1.3569839,3.991376,3.0152261,15.443537,1547.575,23.63327,1.7324898,8.676877,7.4285526,2.716198,0.07104012,6.716768,5.2919087
Al-Hf-Nb-Ti-Zr-,0.28-0.04-0.09-0.32-0.27-,-27.815287,12.677585,1.4076865,8.210096,0.7838384,12.10557,1801.0459,32.682846,1.5033367,8.280285,3.8632739,0.81899244,0.00017011797,5.470751,166.0452
Al-Co-Cr-Fe-Ni-Ti-,0.23-0.21-0.25-0.11-0.16-0.03-,-15.59982,6.547226,1.3471929,4.2364616,1.4984323,13.857704,1686.807,26.227423,1.7513831,7.3200693,6.7699003,2.5609372,0.61032325,6.363294,20.036222
Al-Co-Cr-Cu-Fe-Ni-,0.15-0.03-0.23-0.15-0.21-0.23-,-4.4762077,6.157529,1.3565893,3.7184591,5.219837,13.971002,1672.3976,23.93608,1.7895852,6.727142,7.755455,2.6348066,0.026572958,7.0749984,8.196341
Al-Co-Cr-Cu-Fe-Ni-Sn-Zn-,0.27-0.19-0.05-0.26-0.10-0.02-0.07-0.04-,-2.2981098,6.046433,1.3369691,4.5250316,8.582512,14.932242,1320.8696,34.27605,1.7927067,7.4203796,8.134613,3.5882688,0.00033762114,6.4602313,18.431349
Al-Cr-Fe-Mn-Ni-Sn-,0.43-0.06-0.07-0.37-0.05-0.03-,-16.767817,5.426511,1.3343955,5.5827246,0.85545766,10.957924,1309.0211,30.762228,1.6290631,6.71333,5.6204634,2.6064088,0.04716228,5.158633,4.7392025
Al-Co-Cr-Cu-Fe-Ni-,0.25-0.15-0.19-0.17-0.12-0.13-,-6.8260746,6.609499,1.3405117,4.2051764,3.3618076,14.617622,1569.8822,28.177485,1.7718651,7.1932425,7.2770996,2.9408154,0.179845,6.4802456,15.461511
Al-Co-Cr-Cu-Fe-,0.27-0.33-0.13-0.07-0.20-,-10.038969,5.9611344,1.3390937,4.3761516,1.9439096,12.405547,1573.0741,27.423471,1.7694552,6.791194,6.917485,2.669586,0.44241297,6.313969,26.202034
Hf-Nb-Ta-Ti-Zr-,0.21-0.25-0.07-0.21-0.26-,2.7161894,1.2993125,1.4872504,4.2097335,11.4042,12.884238,2404.1758,16.161165,1.4455361,8.753629,4.317575,0.4675848,1.0,8.821741,542.31226
Hf-Nb-Si-Ta-Ti-Zr-,0.18-0.14-0.05-0.24-0.16-0.23-,-9.629697,14.292153,1.4673339,6.775395,3.7118268,14.208167,2515.7192,20.848446,1.4625965,10.043397,4.3808317,0.4900167,1.0,9.907152,485.21072
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.21-0.06-0.31-0.04-0.17-0.18-0.03-,-11.769798,6.2947636,1.3545277,4.276947,2.053459,14.149414,1708.1127,26.392937,1.743904,7.115406,6.7698097,2.5566542,0.3236566,6.3969145,10.223806
Co-Cr-Fe-Mo-Ni-,0.23-0.21-0.26-0.03-0.26-,-3.7977138,1.6822978,1.3769767,2.0516107,6.152429,12.342446,1893.0735,13.380993,1.8385723,5.942198,8.272633,1.4752581,0.8759316,8.3062315,19.70636
Al-Co-Cr-Fe-Mn-Ni-,0.12-0.23-0.18-0.13-0.14-0.21-,-10.422194,5.2138333,1.3604517,3.429522,2.3951943,14.641226,1704.9922,20.047886,1.7634424,7.857814,7.5707183,2.1587029,0.14952812,7.2641697,19.777674
Co-Cr-Cu-Fe-Ni-,0.14-0.32-0.14-0.25-0.15-,2.096491,4.078758,1.3785344,1.8051226,11.325635,12.8591175,1846.48,14.696635,1.8039329,5.724352,8.22046,1.8094684,0.9804592,8.071647,13.895709
Al-Cr-Nb-Ti-V-Zr-,0.31-0.13-0.18-0.21-0.15-0.02-,-19.221214,8.177772,1.3566768,5.869302,1.2858804,13.433979,1839.8257,36.092064,1.5986888,3.1454914,4.277805,1.0448272,0.004578193,5.242584,20.58299
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.11-0.28-0.20-0.02-0.17-0.15-0.07-,-7.889225,4.88984,1.3651593,3.3753347,3.2149248,14.75191,1719.3204,19.995777,1.7530859,7.625956,7.421913,2.0062082,0.038890053,7.2707176,22.30146
Cr-Cu-Fe-Mn-Ni-Sn-,0.08-0.13-0.07-0.44-0.24-0.05-,-1.8164628,3.7410946,1.3837674,2.0169706,10.771056,12.403783,1577.3584,19.903862,1.7278032,9.882746,8.53504,2.0539567,0.00406113,7.9395685,6.877384
Hf-Nb-Ta-Ti-W-Zr-,0.22-0.12-0.38-0.20-0.06-0.02-,0.5822116,2.0074406,1.4585679,4.0319777,60.565243,12.683651,2780.102,20.132683,1.5223022,15.264029,4.614896,0.59644175,1.0,12.451478,520.1691
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.16-0.07-0.06-0.16-0.18-0.05-0.32-,-18.741499,9.558525,1.3615366,3.9460495,1.288345,14.625278,1650.9438,23.15986,1.7095537,8.97293,6.4325867,2.9559405,0.28287634,5.761451,9.177468
Al-Co-Cr-Cu-Fe-Ni-,0.07-0.03-0.22-0.28-0.05-0.35-,0.012769431,5.5817404,1.3570992,2.6643758,1646.473,12.531666,1677.8431,20.935406,1.8266087,6.3114204,8.787031,2.420672,0.41886517,7.894195,9.578575
Al-Cr-Cu-Fe-Ni-Ti-,0.12-0.23-0.15-0.23-0.19-0.08-,-7.9038773,7.720479,1.365524,3.5148296,3.189512,14.63755,1722.249,22.232971,1.7664034,7.4116073,7.4347167,2.6287212,0.018231122,6.860788,6.2848988
Al-Co-Cr-Cu-Fe-Mn-Ni-Ti-,0.12-0.23-0.19-0.14-0.11-0.03-0.03-0.15-,-11.894821,8.460416,1.3624766,3.4596114,2.3020892,15.962863,1715.4152,21.933084,1.7429706,8.155452,7.104529,2.64031,0.16241983,6.633196,19.556883
Mo-Nb-Ti-V-W-Zr-,0.32-0.22-0.08-0.16-0.17-0.06-,-4.5178013,2.3749146,1.4183806,3.9177635,8.442542,13.753904,2773.1558,19.300716,1.8945302,18.111025,5.3557158,0.7075897,0.9999,10.047869,25.263195
Co-Cr-Cu-Fe-Mn-Ni-,0.10-0.02-0.21-0.14-0.24-0.29-,0.7235098,3.6919928,1.3702625,1.7988082,30.146034,13.419468,1625.3239,11.2689,1.8013537,8.207411,9.015357,1.5503294,0.966209,8.355911,11.342371
Al-Co-Fe-Ni-Ti-V-,0.10-0.30-0.21-0.24-0.07-0.08-,-16.161358,7.6070457,1.353832,3.0477486,1.4653333,13.708338,1727.5452,16.92259,1.8063192,6.9007993,7.7634926,2.3542466,0.21300776,7.167589,24.85804
Hf-Nb-Ti-V-Zr-,0.11-0.35-0.42-0.02-0.11-,2.2474174,1.0721046,1.4493265,4.024465,10.965032,10.68386,2306.5645,15.760838,1.5132265,7.1642985,4.363811,0.4829876,1.0,7.2500577,345.30295
Al-Fe-Ni-Ta-Ti-Zr-,0.27-0.20-0.05-0.06-0.20-0.22-,-33.372787,12.21859,1.3921012,7.604072,0.7179012,13.700766,1748.6877,34.218136,1.5890203,11.371175,4.904851,2.1432762,1.3069896e-05,5.979991,50.06917
Al-Co-Cr-Cu-Fe-Mn-Ni-,0.15-0.17-0.20-0.03-0.14-0.10-0.21-,-10.118308,5.7386084,1.3575579,3.7089796,2.562645,15.3563,1688.5334,22.375734,1.7619207,7.668682,7.434641,2.358196,0.09925196,7.036753,16.180595
Al-C-Co-Cr-Cu-Fe-Mn-Ni-,0.11-0.09-0.23-0.16-0.11-0.18-0.09-0.03-,-19.075863,14.086434,1.2998892,15.213713,1.6042274,16.329817,1873.9965,37.777084,1.8443067,13.942554,7.31728,2.4086626,0.023642497,6.927637,20.373016
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.11-0.25-0.18-0.08-0.17-0.16-0.06-,-9.849326,7.2515035,1.3593938,3.3045068,2.7002864,15.387314,1728.4366,19.976118,1.7908149,6.9586763,7.6853375,2.4094572,0.19201933,7.172423,20.71553
Al-Co-Cr-Fe-Ni-,0.17-0.21-0.06-0.31-0.24-,-10.750727,5.4471397,1.351461,3.8366694,1.946708,12.6842985,1649.9551,21.18372,1.8092794,6.3940945,7.6877904,2.403546,0.27097586,6.9983397,18.179495
Co-Cu-Fe-Ni-,0.35-0.14-0.29-0.22-,2.855471,2.8890495,1.3644335,1.6670026,6.6703362,11.11251,1714.0103,8.572378,1.875054,1.65684,9.214463,1.0135785,0.99986434,8.578585,24.36727
Al-Cu-Fe-Mn-Ni-Sn-Zn-,0.07-0.28-0.01-0.37-0.17-0.01-0.08-,-3.830404,4.895163,1.3627526,2.9773805,4.6252694,12.73148,1391.5621,21.796171,1.7315203,9.653761,8.846315,2.5363648,0.05664966,7.577995,5.766812
Co-Cr-Fe-Ni-Ti-V-,0.26-0.21-0.12-0.19-0.14-0.08-,-14.845266,7.664296,1.3733962,1.8232276,1.8485463,14.3797035,1908.3953,9.669678,1.7668542,7.742273,7.4316325,2.1136007,0.00016268954,7.314811,22.796408
Al-Co-Cr-Cu-Fe-Ni-Ti-,0.16-0.01-0.22-0.16-0.15-0.25-0.05-,-8.268584,7.542645,1.3549433,3.769186,2.92931,14.525853,1667.4575,24.518404,1.7758367,7.443337,7.570854,2.801975,0.046879947,6.8324356,7.48342
Cu-Mn-Ni-Sn-Zn-,0.36-0.25-0.16-0.12-0.11-,0.15636566,3.3507597,1.3746235,2.556897,102.22405,12.484168,1280.3763,31.047361,1.7942975,9.10111,10.31657,2.210891,4.8751093e-07,8.016171,8.760735
Mo-Nb-Ti-V-,0.39-0.16-0.34-0.12-,-3.514208,1.6914309,1.4212873,2.4478686,7.475666,10.649328,2466.9194,17.496098,1.7992389,15.962179,5.0495877,0.84847593,0.9999262,7.46311,19.478863
Al-Cr-Cu-Fe-Ni-,0.14-0.31-0.19-0.13-0.23-,-3.14359,6.1764607,1.3579725,3.653378,7.003975,12.978433,1696.4773,24.862741,1.7779498,6.98721,7.6971335,2.6984518,0.070544,7.0854335,6.8749895
